#LAMBDA    G          BP        RP         RVS
#[NM]
607    0.99008    0.91512    0.00021    0.00000
609    0.99270    0.92608    0.00022    0.00000
611    0.99335    0.92919    0.00029    0.00000
613    0.99105    0.92428    0.00038    0.00000
615    0.99105    0.92023    0.00049    0.00000
617    0.99054    0.91432    0.00066    0.00000
619    0.98695    0.90184    0.00093    0.00000
621    0.98843    0.88965    0.00136    0.00000
623    0.98941    0.87590    0.00209    0.00000
625    0.98396    0.86145    0.00331    0.00000
627    0.98384    0.86135    0.00552    0.00000
629    0.98119    0.86818    0.00951    0.00000
631    0.98104    0.87975    0.01735    0.00000
633    0.98303    0.88878    0.03311    0.00000
635    0.98035    0.88848    0.06625    0.00000
637    0.97706    0.88304    0.13640    0.00000
639    0.97628    0.88025    0.27682    0.00000
641    0.97301    0.87728    0.49672    0.00000
643    0.97639    0.88203    0.74096    0.00000
645    0.97148    0.88055    0.90004    0.00000
647    0.97392    0.88415    0.96560    0.00000
649    0.96734    0.87533    0.97098    0.00000
651    0.96956    0.86393    0.97472    0.00000
653    0.96640    0.82038    0.97426    0.00000
655    0.96363    0.73353    0.97503    0.00000
657    0.96081    0.60709    0.97445    0.00000
659    0.95974    0.46594    0.97397    0.00000
661    0.95761    0.32909    0.97083    0.00000
663    0.95226    0.20746    0.96520    0.00000
665    0.95379    0.11592    0.96650    0.00000
667    0.95297    0.05296    0.96640    0.00000
669    0.94996    0.02161    0.96499    0.00000
671    0.94753    0.00936    0.96429    0.00000
673    0.94851    0.00470    0.96637    0.00000
675    0.94479    0.00279    0.96313    0.00000
677    0.94073    0.00190    0.95933    0.00000
679    0.93799    0.00144    0.95685    0.00000
681    0.93725    0.00111    0.95678    0.00000
683    0.93209    0.00079    0.95226    0.00000
685    0.93111    0.00051    0.95335    0.00000
687    0.92485    0.00028    0.94982    0.00000
689    0.92436    0.00014    0.95333    0.00000
691    0.92005    0.00007    0.95388    0.00000
693    0.91720    0.00004    0.95641    0.00000
695    0.91520    0.00003    0.96071    0.00000
697    0.91514    0.00002    0.96768    0.00000
699    0.91215    0.00001    0.97172    0.00000
701    0.91082    0.00001    0.97758    0.00000
703    0.90317    0.00001    0.97680    0.00000
705    0.89864    0.00001    0.97870    0.00000
707    0.89767    0.00001    0.98426    0.00000
709    0.89363    0.00001    0.98549    0.00000
711    0.89302    0.00001    0.99059    0.00000
713    0.88935    0.00001    0.99145    0.00000
715    0.88683    0.00001    0.99335    0.00000
717    0.88031    0.00001    0.99130    0.00000
719    0.87501    0.00000    0.98991    0.00000
721    0.87413    0.00000    0.99444    0.00000
723    0.86862    0.00001    0.99370    0.00000
725    0.86374    0.00001    0.99339    0.00000
727    0.86229    0.00000    0.99756    0.00000
729    0.85529    0.00000    0.99505    0.00000
731    0.85239    0.00000    0.99742    0.00000
733    0.85017    0.00000    1.00000    0.00000
735    0.84407    0.00000    0.99768    0.00000
737    0.84036    0.00000    0.99814    0.00000
739    0.83474    0.00000    0.99590    0.00000
741    0.83271    0.00000    0.99770    0.00000
743    0.82396    0.00000    0.99130    0.00000
745    0.82131    0.00000    0.99227    0.00000
747    0.81715    0.00001    0.99166    0.00000
749    0.81287    0.00000    0.99139    0.00000
751    0.80576    0.00001    0.98735    0.00000
753    0.80383    0.00000    0.99037    0.00000
755    0.79753    0.00000    0.98880    0.00000
757    0.79245    0.00000    0.98829    0.00000
759    0.78821    0.00000    0.98916    0.00000
761    0.78022    0.00000    0.98530    0.00000
763    0.77765    0.00000    0.98826    0.00000
765    0.77186    0.00001    0.98724    0.00000
767    0.76340    0.00000    0.98205    0.00000
769    0.75905    0.00000    0.98219    0.00000
771    0.75415    0.00000    0.98096    0.00000
773    0.74861    0.00000    0.97961    0.00000
775    0.74103    0.00000    0.97440    0.00000
777    0.73193    0.00000    0.96751    0.00000
779    0.73239    0.00000    0.97303    0.00000
781    0.72409    0.00000    0.96661    0.00000
783    0.72061    0.00000    0.96771    0.00000
785    0.71003    0.00000    0.95848    0.00000
787    0.70440    0.00000    0.95579    0.00000
789    0.69850    0.00000    0.95237    0.00000
791    0.69237    0.00001    0.94963    0.00000
793    0.68701    0.00000    0.94752    0.00000
795    0.67976    0.00000    0.94259    0.00000
797    0.67395    0.00000    0.94067    0.00000
799    0.66485    0.00000    0.93525    0.00000
801    0.65804    0.00000    0.93181    0.00000
803    0.65297    0.00000    0.93203    0.00000
805    0.64406    0.00000    0.92616    0.00000
807    0.63765    0.00000    0.92363    0.00000
809    0.63062    0.00000    0.92186    0.00000
811    0.62574    0.00000    0.92170    0.00000
813    0.62033    0.00000    0.92071    0.00000
815    0.61241    0.00000    0.91611    0.00000
817    0.60321    0.00000    0.90975    0.00000
819    0.59619    0.00000    0.90568    0.00000
821    0.58886    0.00000    0.90060    0.00000
823    0.58248    0.00000    0.89698    0.00000
825    0.57545    0.00000    0.89185    0.00000
827    0.56845    0.00000    0.88588    0.00000
829    0.55905    0.00000    0.87646    0.00000
831    0.55218    0.00000    0.87046    0.00000
833    0.54572    0.00000    0.86450    0.00000
835    0.53958    0.00000    0.86062    0.00000
837    0.53000    0.00001    0.85111    0.00000
839    0.52332    0.00000    0.84660    0.00000
841    0.51535    0.00000    0.83913    0.00000
843    0.50898    0.00000    0.83483    0.00000
845    0.50078    0.00001    0.82938    0.00000
847    0.49393    0.00000    0.82671    1.00000
849    0.48644    0.00000    0.80471    0.99089
851    0.47857    0.00003    0.80075    0.98118
853    0.46947    0.00000    0.79310    0.96938
855    0.46434    0.00001    0.79199    0.96474
857    0.45792    0.00010    0.78833    0.95751
859    0.44991    0.00006    0.78196    0.94758
861    0.43950    0.00000    0.77064    0.93136
863    0.43421    0.00000    0.76745    0.92583
865    0.42597    0.00003    0.75888    0.91496
867    0.41802    0.00004    0.75039    0.90367
869    0.41297    0.00003    0.74592    0.89806
871    0.40313    0.00000    0.73313    0.88299
873    0.39898    0.00000    0.72997    0.87957
875    0.39030    0.00007    0.71750    0.00000
877    0.38350    0.00002    0.70892    0.00000
879    0.37562    0.00003    0.69860    0.00000
881    0.36895    0.00000    0.68912    0.00000
883    0.36158    0.00006    0.67964    0.00000
885    0.35536    0.00000    0.67232    0.00000
887    0.34755    0.00002    0.66115    0.00000
889    0.34232    0.00007    0.65558    0.00000
891    0.33445    0.00005    0.64534    0.00000
893    0.32520    0.00001    0.63182    0.00000
895    0.31909    0.00000    0.62367    0.00000
897    0.31228    0.00002    0.61490    0.00000
899    0.30516    0.00000    0.60498    0.00000
901    0.29890    0.00004    0.59567    0.00000
903    0.29229    0.00002    0.58626    0.00000
905    0.28455    0.00001    0.57487    0.00000
907    0.27861    0.00001    0.56547    0.00000
909    0.27309    0.00003    0.55724    0.00000
911    0.26546    0.00000    0.54515    0.00000
913    0.25777    0.00000    0.53202    0.00000
915    0.25224    0.00000    0.52247    0.00000
917    0.24690    0.00001    0.51428    0.00000
919    0.23962    0.00003    0.50220    0.00000
921    0.23343    0.00003    0.49098    0.00000
923    0.22709    0.00001    0.47970    0.00000
925    0.22065    0.00001    0.46926    0.00000
927    0.21507    0.00001    0.45957    0.00000
929    0.20854    0.00003    0.44696    0.00000
931    0.20293    0.00000    0.43734    0.00000
933    0.19741    0.00003    0.42828    0.00000
935    0.19183    0.00001    0.41763    0.00000
937    0.18611    0.00000    0.40671    0.00000
939    0.17962    0.00001    0.39492    0.00000
941    0.17434    0.00000    0.38514    0.00000
943    0.16882    0.00001    0.37376    0.00000
945    0.16357    0.00001    0.36390    0.00000
947    0.15804    0.00000    0.35408    0.00000
949    0.15343    0.00002    0.34523    0.00000
951    0.14784    0.00002    0.33368    0.00000
953    0.14318    0.00000    0.32519    0.00000
955    0.13768    0.00000    0.31495    0.00000
957    0.13290    0.00000    0.30509    0.00000
959    0.12822    0.00000    0.29507    0.00000
961    0.12351    0.00000    0.28572    0.00000
963    0.11884    0.00000    0.27652    0.00000
965    0.11431    0.00001    0.26673    0.00000
967    0.11012    0.00000    0.25759    0.00000
969    0.10563    0.00000    0.24839    0.00000
971    0.10100    0.00000    0.23876    0.00000
973    0.09709    0.00002    0.22994    0.00000
975    0.09323    0.00000    0.22090    0.00000
977    0.08927    0.00000    0.21246    0.00000
979    0.08513    0.00000    0.20365    0.00000
981    0.08117    0.00000    0.19455    0.00000
983    0.07741    0.00000    0.18565    0.00000
985    0.07391    0.00000    0.17801    0.00000
987    0.07038    0.00000    0.17040    0.00000
989    0.06699    0.00000    0.16245    0.00000
991    0.06375    0.00000    0.15463    0.00000
993    0.06039    0.00001    0.14702    0.00000
995    0.05703    0.00000    0.13957    0.00000
997    0.05403    0.00000    0.13248    0.00000
999    0.05141    0.00000    0.12606    0.00000
1003    0.04629    0.00001    0.11424    0.00000
1008    0.03983    0.00000    0.09862    0.00000
1013    0.03367    0.00000    0.08404    0.00000
1018    0.02842    0.00000    0.07095    0.00000
1023    0.02345    0.00000    0.05889    0.00000
1028    0.01940    0.00000    0.04886    0.00000
1033    0.01569    0.00000    0.03971    0.00000
1038    0.01255    0.00000    0.03187    0.00000
1043    0.00988    0.00000    0.02505    0.00000
1048    0.00755    0.00001    0.01923    0.00000
1053    0.00569    0.00001    0.01445    0.00000
1058    0.00414    0.00004    0.01059    0.00000
1063    0.00299    0.00021    0.00762    0.00000
1068    0.00214    0.00080    0.00550    0.00000
1073    0.00156    0.00061    0.00400    0.00000
1078    0.00112    0.00054    0.00288    0.00000
1083    0.00078    0.00035    0.00199    0.00000
1088    0.00050    0.00026    0.00128    0.00000
1093    0.00030    0.00016    0.00077    0.00000
1098    0.00018    0.00009    0.00044    0.00000
1103    0.00000    0.00000    0.00000    0.00000 
