# OGLE wide filter, new in 2026
# Filter profile provided by Andrzej Udalski
# wavelength (nm), throughput (percent) 
1100	0.00515
1099	0.0056
1098	0.00611
1097	0.00668
1096	0.00732
1095	0.00805
1094	0.00888
1093	0.00983
1092	0.01091
1091	0.01215
1090	0.01357
1089	0.01522
1088	0.01712
1087	0.01933
1086	0.0219
1085	0.02491
1084	0.02845
1083	0.03261
1082	0.03754
1081	0.04339
1080	0.05037
1079	0.05873
1078	0.06878
1077	0.08095
1076	0.09571
1075	0.11373
1074	0.13583
1073	0.16308
1072	0.19689
1071	0.23903
1070	0.29186
1069	0.35853
1068	0.44326
1067	0.55144
1066	0.69076
1065	0.87104
1064	1.10617
1063	1.41536
1062	1.82399
1061	2.36891
1060	3.09886
1059	4.08453
1058	5.41906
1057	7.23521
1056	9.70458
1055	13.04807
1054	17.52164
1053	23.40456
1052	30.89285
1051	39.97982
1050	50.3469
1049	61.24691
1048	71.67737
1047	80.69016
1046	87.7437
1045	92.75309
1044	96.00485
1043	97.9376
1042	98.9795
1041	99.47313
1040	99.65676
1039	99.68338
1038	99.64305
1037	99.58437
1036	99.53062
1035	99.49066
1034	99.46609
1033	99.45535
1032	99.4556
1031	99.46435
1030	99.4791
1029	99.49773
1028	99.51834
1027	99.53924
1026	99.55863
1025	99.575
1024	99.58702
1023	99.59367
1022	99.59444
1021	99.58936
1020	99.57896
1019	99.56435
1018	99.54709
1017	99.52889
1016	99.51173
1015	99.49741
1014	99.48755
1013	99.48328
1012	99.48533
1011	99.49384
1010	99.50838
1009	99.52803
1008	99.55146
1007	99.57706
1006	99.60309
1005	99.6277
1004	99.64941
1003	99.66684
1002	99.67912
1001	99.68573
1000	99.68665
999	99.68233
998	99.67355
997	99.66146
996	99.64737
995	99.63271
994	99.61884
993	99.60705
992	99.59829
991	99.59333
990	99.59258
989	99.59611
988	99.60366
987	99.61475
986	99.62863
985	99.64443
984	99.6612
983	99.67802
982	99.69408
981	99.70863
980	99.72118
979	99.73138
978	99.7391
977	99.7444
976	99.74751
975	99.74876
974	99.74855
973	99.74728
972	99.74538
971	99.74319
970	99.74097
969	99.7389
968	99.73699
967	99.7353
966	99.73367
965	99.73203
964	99.73029
963	99.72827
962	99.72594
961	99.72337
960	99.72059
959	99.7178
958	99.71523
957	99.7131
956	99.71176
955	99.7114
954	99.7122
953	99.71423
952	99.71747
951	99.72174
950	99.72673
949	99.73196
948	99.73692
947	99.74097
946	99.74352
945	99.74395
944	99.74178
943	99.73663
942	99.72836
941	99.71699
940	99.7028
939	99.68624
938	99.66805
937	99.64905
936	99.63023
935	99.6126
934	99.59714
933	99.58469
932	99.57599
931	99.57146
930	99.57134
929	99.57561
928	99.58384
927	99.59541
926	99.60953
925	99.62514
924	99.64117
923	99.65651
922	99.67015
921	99.68121
920	99.68899
919	99.69312
918	99.69345
917	99.69015
916	99.68362
915	99.67453
914	99.66364
913	99.65179
912	99.63988
911	99.62867
910	99.6188
909	99.61072
908	99.60462
907	99.60046
906	99.59794
905	99.5966
904	99.59579
903	99.59479
902	99.59292
901	99.58947
900	99.58401
899	99.57615
898	99.56583
897	99.55331
896	99.53898
895	99.52348
894	99.50758
893	99.49217
892	99.47804
891	99.46598
890	99.45652
889	99.44999
888	99.44647
887	99.4457
886	99.44723
885	99.45034
884	99.45414
883	99.45775
882	99.46019
881	99.46069
880	99.45871
879	99.45398
878	99.44642
877	99.43642
876	99.42464
875	99.41194
874	99.39946
873	99.38836
872	99.37972
871	99.37462
870	99.37382
869	99.37779
868	99.38666
867	99.40029
866	99.41801
865	99.43906
864	99.46224
863	99.48632
862	99.51014
861	99.53246
860	99.55242
859	99.56921
858	99.58246
857	99.59204
856	99.59816
855	99.60122
854	99.60181
853	99.60061
852	99.59823
851	99.59522
850	99.592
849	99.58876
848	99.58541
847	99.58179
846	99.57755
845	99.57228
844	99.56554
843	99.55704
842	99.54669
841	99.53455
840	99.52097
839	99.50653
838	99.49204
837	99.47844
836	99.46668
835	99.45773
834	99.45225
833	99.45081
832	99.45361
831	99.46053
830	99.47119
829	99.48483
828	99.50044
827	99.51707
826	99.53357
825	99.54895
824	99.56231
823	99.57321
822	99.58125
821	99.58634
820	99.58877
819	99.58883
818	99.58695
817	99.58356
816	99.57915
815	99.57397
814	99.56824
813	99.56206
812	99.55549
811	99.54861
810	99.5415
809	99.53445
808	99.52787
807	99.52242
806	99.51881
805	99.51794
804	99.52065
803	99.52766
802	99.5394
801	99.55597
800	99.57697
799	99.60162
798	99.62849
797	99.65614
796	99.68255
795	99.70611
794	99.72512
793	99.7384
792	99.74546
791	99.74633
790	99.74176
789	99.73306
788	99.72198
787	99.71039
786	99.7002
785	99.69285
784	99.68934
783	99.68999
782	99.6944
781	99.70145
780	99.70962
779	99.71721
778	99.72247
777	99.72395
776	99.72084
775	99.71294
774	99.70089
773	99.68592
772	99.66977
771	99.65434
770	99.64142
769	99.63243
768	99.62814
767	99.62852
766	99.63287
765	99.63975
764	99.6473
763	99.65355
762	99.65662
761	99.65533
760	99.64893
759	99.6375
758	99.62183
757	99.60326
756	99.5835
755	99.56417
754	99.54681
753	99.53244
752	99.5216
751	99.51429
750	99.51021
749	99.50881
748	99.50948
747	99.51199
746	99.51632
745	99.52269
744	99.53166
743	99.54378
742	99.55927
741	99.57816
740	99.59991
739	99.62338
738	99.64707
737	99.66918
736	99.68819
735	99.70277
734	99.71235
733	99.71693
732	99.71713
731	99.71385
730	99.70801
729	99.70022
728	99.69048
727	99.67815
726	99.66216
725	99.64127
724	99.61458
723	99.58208
722	99.54499
721	99.50569
720	99.46781
719	99.43521
718	99.41158
717	99.39955
716	99.39971
715	99.41064
714	99.42906
713	99.45033
712	99.46992
711	99.48428
710	99.49214
709	99.49475
708	99.49558
707	99.49974
706	99.51186
705	99.53492
704	99.56879
703	99.60938
702	99.65002
701	99.68235
700	99.69936
699	99.6974
698	99.67779
697	99.64738
696	99.61669
695	99.59704
694	99.59688
693	99.61898
692	99.65872
691	99.70522
690	99.74516
689	99.76693
688	99.76519
687	99.74339
686	99.71192
685	99.68301
684	99.66402
683	99.65274
682	99.63844
681	99.60994
680	99.56855
679	99.53613
678	99.54271
677	99.57214
676	99.4471
675	98.64577
674	96.10977
673	90.35034
672	80.2022
671	66.1324
670	50.69772
669	36.65496
668	25.60452
667	17.63676
666	12.10425
665	8.33063
664	5.7583
663	3.99558
662	2.78334
661	1.94311
660	1.362
659	0.95961
658	0.68129
657	0.48937
656	0.35616
655	0.26306
654	0.19723
653	0.15033
652	0.11632
651	0.09119
650	0.07236
649	0.05785
648	0.04651
647	0.03749
646	0.03021
645	0.02429
644	0.01949
643	0.0156
642	0.01249
641	0.01003
640	0.0081
639	0.0066
638	0.00543
637	0.00453
636	0.00384
635	0.00329
634	0.00286
633	0.0025
632	0.00221
631	0.00196
630	0.00173
629	0.00151
628	0.00131
627	0.00113
626	0.00096
625	0.00081
624	0.00069
623	0.00059
622	0.00051
621	0.00044
620	0.00039
619	0.00035
618	0.00032
617	0.0003
616	0.00028
615	0.00027
614	0.00025
613	0.00023
612	0.00021
611	0.00019
610	0.00017
609	0.00015
608	0.00013
607	0.00012
606	0.00011
605	0.0001
604	0.00009
603	0.00009
602	0.00009
601	0.00009
600	0.00009
599	0.00009
598	0.00009
597	0.00009
596	0.00008
595	0.00007
594	0.00007
593	0.00006
592	0.00005
591	0.00005
590	0.00005
589	0.00005
588	0.00005
587	0.00005
586	0.00006
585	0.00006
584	0.00006
583	0.00006
582	0.00006
581	0.00006
580	0.00005
579	0.00005
578	0.00004
577	0.00004
576	0.00004
575	0.00005
574	0.00005
573	0.00006
572	0.00007
571	0.00007
570	0.00007
569	0.00007
568	0.00006
567	0.00005
566	0.00005
565	0.00005
564	0.00005
563	0.00005
562	0.00006
561	0.00008
560	0.00009
559	0.0001
558	0.0001
557	0.00009
556	0.00008
555	0.00007
554	0.00006
553	0.00006
552	0.00007
551	0.00008
550	0.0001
549	0.00013
548	0.00016
547	0.00018
546	0.00017
545	0.00014
544	0.00011
543	0.00009
542	0.00008
541	0.00006
540	0.00005
539	0.00004
538	0.00003
537	0.00003
536	0.00002
535	0.00002
534	0.00002
533	0.00001
532	0.00001
531	0.00001
530	0.00001
529	0.00001
528	0.00001
527	0.00001
526	0.00002
525	0.00002
524	0.00002
523	0.00003
522	0.00004
521	0.00006
520	0.00009
519	0.00018
518	0.00041
517	0.00074
516	0.00044
515	0.00019
514	0.00009
513	0.00005
512	0.00003
511	0.00002
510	0.00001
509	0.00001
508	0.00001
507	0.00001
506	0
505	0
504	0
503	0
502	0
501	0
500	0
499	0
498	0
497	0
496	0
495	0
494	0
493	0
492	0.00001
491	0.00001
490	0.00003
489	0.00008
488	0.00003
487	0.00001
486	0
485	0
484	0
483	0
482	0
481	0
480	0
479	0
478	0
477	0
476	0
475	0
474	0
473	0
472	0
471	0
470	0
469	0
468	0
467	0
466	0.00001
465	0.00002
464	0.00004
463	0.00001
462	0
461	0
460	0
459	0
458	0
457	0
456	0
455	0
454	0
453	0
452	0
451	0
450	0
449	0.00001
448	0.00004
447	0.00021
446	0.00005
445	0.00002
444	0.00001
443	0.00001
442	0.00002
441	0.00004
440	0.00006
439	0.00001
438	0
437	0
436	0
435	0
434	0
433	0
432	0
431	0
430	0
429	0
428	0
427	0
426	0
425	0
424	0
423	0
422	0
421	0
420	0
419	0
418	0
417	0
416	0
415	0
414	0
413	0
412	0
411	0
410	0
409	0
408	0
407	0
406	0
405	0
404	0.00002
403	0.00001
402	0.00001
401	0
400	0
399	0
398	0
397	0
396	0.00001
395	0.00002
394	0.00001
393	0.00001
392	0
391	0
390	0
389	0
388	0
387	0
386	0
385	0
384	0
383	0
382	0
381	0
380	0
379	0
378	0
377	0
376	0
375	0
374	0
373	0
372	0
371	0
370	0
369	0
368	0
367	0
366	0
365	0
364	0
363	0
362	0
361	0
360	0
359	0
358	0
357	0
356	0
355	0
354	0
353	0
352	0
351	0
350	0
349	0
348	0
347	0
346	0
345	0
344	0
343	0
342	0
341	0
340	0
339	0
338	0
337	0
336	0
335	0
334	0
333	0
332	0
331	0
330	0
329	0
328	0
327	0
326	0
325	0
324	0
323	0
322	0
321	0
320	0
319	0
318	0
317	0
316	0
315	0
314	0
313	0
312	0
311	0
310	0
309	0
308	0
307	0
306	0
305	0
304	0
303	0
302	0
301	0
300	0

