age,mass,luminosity,temperature,gravity,radius
0.12,0.072,-2.922,2753,4.923,0.153
0.12,0.075,-2.886,2783,4.923,0.157
0.12,0.08,-2.838,2824,4.929,0.161
0.12,0.09,-2.753,2894,4.937,0.169
0.12,0.1,-2.673,2949,4.936,0.178
0.5,0.0005,-8.415,141,3.097,0.105
0.5,0.001,-7.753,203,3.365,0.109
0.5,0.002,-7.218,272,3.639,0.112
0.5,0.003,-6.913,322,3.805,0.113
0.5,0.004,-6.67,370,3.928,0.114
0.5,0.005,-6.496,409,4.027,0.113
0.5,0.006,-6.34,449,4.112,0.113
0.5,0.007,-6.2,488,4.185,0.112
0.5,0.008,-6.08,525,4.249,0.111
0.5,0.009,-5.963,564,4.307,0.11
0.5,0.01,-5.864,599,4.358,0.11
0.5,0.012,-5.447,759,4.432,0.11
0.5,0.015,-5.404,791,4.557,0.107
0.5,0.02,-5.133,936,4.704,0.104
0.5,0.03,-4.636,1264,4.905,0.101
0.5,0.04,-4.255,1583,5.04,0.1
0.5,0.05,-3.955,1875,5.131,0.101
0.5,0.06,-3.729,2116,5.194,0.102
0.5,0.07,-3.534,2329,5.233,0.106
0.5,0.072,-3.498,2369,5.238,0.107
0.5,0.075,-3.445,2426,5.244,0.108
0.5,0.08,-3.356,2518,5.248,0.111
0.5,0.09,-3.189,2680,5.241,0.119
0.5,0.1,-3.047,2804,5.223,0.128
1,0.0005,-8.851,111,3.115,0.102
1,0.001,-8.185,160,3.386,0.106
1,0.002,-7.56,226,3.662,0.109
1,0.003,-7.244,270,3.827,0.111
1,0.004,-7.031,304,3.95,0.111
1,0.005,-6.831,342,4.051,0.11
1,0.006,-6.664,377,4.134,0.11
1,0.007,-6.556,403,4.208,0.109
1,0.008,-6.417,438,4.272,0.108
1,0.009,-6.325,464,4.331,0.107
1,0.01,-6.235,491,4.383,0.107
1,0.012,-5.955,578,4.467,0.106
1,0.015,-5.835,628,4.587,0.103
1,0.02,-5.514,766,4.736,0.1
1,0.03,-5.071,1009,4.948,0.096
1,0.04,-4.696,1271,5.099,0.093
1,0.05,-4.374,1543,5.211,0.092
1,0.06,-4.106,1801,5.291,0.092
1,0.07,-3.829,2082,5.333,0.094
1,0.072,-3.772,2140,5.336,0.095
1,0.075,-3.679,2234,5.334,0.098
1,0.08,-3.527,2383,5.323,0.102
1,0.09,-3.268,2627,5.285,0.113
1,0.1,-3.083,2784,5.246,0.125
5,0.002,-8.57,129,3.698,0.105
5,0.003,-8.166,162,3.868,0.105
5,0.004,-7.867,193,3.994,0.105
5,0.005,-7.644,220,4.095,0.105
5,0.006,-7.469,244,4.18,0.104
5,0.007,-7.328,265,4.254,0.103
5,0.008,-7.217,284,4.318,0.103
5,0.009,-7.124,301,4.376,0.102
5,0.01,-7.015,322,4.429,0.101
5,0.012,-6.823,361,4.519,0.1
5,0.015,-6.671,399,4.634,0.098
5,0.02,-6.401,473,4.786,0.095
5,0.03,-6.008,610,5.011,0.09
5,0.04,-5.67,760,5.179,0.085
5,0.05,-5.353,931,5.313,0.082
5,0.06,-5.058,1120,5.418,0.079
5,0.07,-4.504,1524,5.466,0.081
5,0.072,-4.278,1712,5.453,0.083
5,0.075,-3.942,2006,5.411,0.089
5,0.08,-3.603,2320,5.353,0.099
5,0.09,-3.275,2622,5.289,0.113
5,0.1,-3.083,2785,5.247,0.125
10,0.003,-8.629,125,3.879,0.104
10,0.004,-8.325,149,4.006,0.104
10,0.005,-8.087,172,4.109,0.103
10,0.006,-7.888,193,4.195,0.102
10,0.007,-7.724,213,4.27,0.102
10,0.008,-7.584,232,4.335,0.101
10,0.009,-7.469,249,4.393,0.1
10,0.01,-7.368,265,4.445,0.099
10,0.012,-7.204,293,4.536,0.098
10,0.015,-7.016,330,4.65,0.096
10,0.02,-6.759,389,4.802,0.093
10,0.03,-6.358,504,5.029,0.088
10,0.04,-6.004,634,5.2,0.083
10,0.05,-5.695,776,5.338,0.079
10,0.06,-5.393,941,5.45,0.076
10,0.07,-4.832,1289,5.503,0.078
10,0.072,-4.472,1556,5.481,0.081
10,0.075,-3.954,1997,5.415,0.089
10,0.08,-3.602,2322,5.353,0.099
10,0.09,-3.274,2624,5.289,0.113
10,0.1,-3.082,2786,5.246,0.125
