# T1 filter profile from Bessell et al. (2001)
# wavelength (nm), transmission
560,0.000
570,0.037
580,0.103
590,0.197
600,0.663
610,0.968
620,1.011
630,0.937
640,0.842
650,0.744
660,0.656
670,0.556
680,0.448
690,0.359
700,0.291
710,0.241
720,0.164
730,0.118
740,0.069
