# T2 filter profile from Bessell et al. (2001)
# wavelength (nm), transmission
720,0.000
730,0.130
740,0.540
750,0.698
760,0.803
770,0.875
780,0.911
790,0.932
800,0.954
810,0.975
820,0.987
830,0.999
840,0.999
850,0.979
860,0.945
870,0.844
880,0.620
890,0.000
