# M filter profile from Bessell et al. (2001)
# wavelength (nm), transmission
430,0.000
440,0.015
450,0.158
460,0.448
470,0.708
480,0.866
490,0.950
500,0.993
510,0.996
520,0.944
530,0.886
540,0.800
550,0.682
560,0.518
570,0.339
580,0.190
590,0.084
600,0.016
610,0.000
