9468.20 0.0006
9472.70 0.0018
9477.20 0.0029
9481.70 0.0037
9486.20 0.0033
9490.80 0.0024
9495.30 0.0024
9499.80 0.0037
9504.30 0.0050
9508.90 0.0052
9513.40 0.0046
9517.90 0.0043
9522.40 0.0046
9526.90 0.0048
9531.50 0.0050
9536.00 0.0061
9540.50 0.0079
9545.00 0.0092
9549.50 0.0100
9554.10 0.0108
9558.60 0.0122
9563.10 0.0151
9567.60 0.0187
9572.20 0.0222
9576.70 0.0259
9581.20 0.0307
9585.70 0.0374
9590.30 0.0466
9594.80 0.0584
9599.30 0.0728
9603.80 0.0904
9608.30 0.1122
9612.90 0.1381
9617.40 0.1675
9621.90 0.2011
9626.40 0.2394
9631.00 0.2817
9635.50 0.3269
9640.00 0.3745
9644.60 0.4241
9649.10 0.4755
9653.60 0.5273
9658.10 0.5779
9662.70 0.6255
9667.20 0.6692
9671.70 0.7086
9676.20 0.7434
9680.80 0.7734
9685.30 0.7982
9689.80 0.8173
9694.30 0.8296
9698.90 0.8341
9703.40 0.8308
9707.90 0.8202
9712.50 0.8023
9717.00 0.7770
9721.50 0.7450
9726.00 0.7089
9730.60 0.6695
9735.10 0.6258
9739.60 0.5781
9744.20 0.5279
9748.70 0.4753
9753.20 0.4198
9757.80 0.3623
9762.30 0.3049
9766.80 0.2504
9771.30 0.2015
9775.90 0.1597
9780.40 0.1258
9784.90 0.0993
9789.50 0.0787
9794.00 0.0630
9798.50 0.0512
9803.10 0.0421
9807.60 0.0348
9812.10 0.0293
9816.70 0.0256
9821.20 0.0226
9825.70 0.0191
9830.20 0.0153
9834.80 0.0127
9839.30 0.0116
9843.80 0.0110
9848.40 0.0098
9852.90 0.0083
9857.40 0.0071
9862.00 0.0062
9866.50 0.0053
9871.00 0.0042
9875.60 0.0036
9880.10 0.0037
9884.60 0.0043
9889.20 0.0048
9893.70 0.0047
9898.30 0.0045
9902.80 0.0039
9907.30 0.0023
9911.90 0.0005
